noise_ratio,feature,family,fpr_source,fpr_empirical,fpr_ci_lo,fpr_ci_hi,n_seeds,fdr_q,fpr_within_target
0.05,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.05,peak_amplitude,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.05,dwell_time,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.05,switching_rate,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.05,bimodality_coefficient,conditional,raw_uncorrected,0.03333333333333333,0.0059084379948573795,0.16670751396958874,30,0.05,True
0.05,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.1,mean_synchrony,reference,raw_uncorrected,0.03333333333333333,0.0059084379948573795,0.16670751396958874,30,0.05,True
0.1,peak_amplitude,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.1,dwell_time,core,raw_uncorrected,0.03333333333333333,0.0059084379948573795,0.16670751396958874,30,0.05,True
0.1,switching_rate,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.1,bimodality_coefficient,conditional,raw_uncorrected,0.03333333333333333,0.0059084379948573795,0.16670751396958874,30,0.05,True
0.1,mean_synchrony,reference,raw_uncorrected,0.03333333333333333,0.0059084379948573795,0.16670751396958874,30,0.05,True
0.2,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.2,peak_amplitude,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.2,dwell_time,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.2,switching_rate,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.2,bimodality_coefficient,conditional,raw_uncorrected,0.06666666666666667,0.01847663532769335,0.21323817721072091,30,0.05,True
0.2,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.3,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.3,peak_amplitude,core,raw_uncorrected,0.03333333333333333,0.0059084379948573795,0.16670751396958874,30,0.05,True
0.3,dwell_time,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.3,switching_rate,core,raw_uncorrected,0.03333333333333333,0.0059084379948573795,0.16670751396958874,30,0.05,True
0.3,bimodality_coefficient,conditional,raw_uncorrected,0.06666666666666667,0.01847663532769335,0.21323817721072091,30,0.05,True
0.3,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.5,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.5,peak_amplitude,core,raw_uncorrected,0.06666666666666667,0.01847663532769335,0.21323817721072091,30,0.05,True
0.5,dwell_time,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.5,switching_rate,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.5,bimodality_coefficient,conditional,raw_uncorrected,0.06666666666666667,0.01847663532769335,0.21323817721072091,30,0.05,True
0.5,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.7,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.7,peak_amplitude,core,raw_uncorrected,0.13333333333333333,0.05309569424218104,0.2968168394441695,30,0.05,False
0.7,dwell_time,core,raw_uncorrected,0.03333333333333333,0.0059084379948573795,0.16670751396958874,30,0.05,True
0.7,switching_rate,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
0.7,bimodality_coefficient,conditional,raw_uncorrected,0.03333333333333333,0.0059084379948573795,0.16670751396958874,30,0.05,True
0.7,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
1.0,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
1.0,peak_amplitude,core,raw_uncorrected,0.13333333333333333,0.05309569424218104,0.2968168394441695,30,0.05,False
1.0,dwell_time,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
1.0,switching_rate,core,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
1.0,bimodality_coefficient,conditional,raw_uncorrected,0.1,0.03459925995971615,0.25621441315266624,30,0.05,True
1.0,mean_synchrony,reference,raw_uncorrected,0.0,0.0,0.113517091390478,30,0.05,True
