id,true_shape,cluster
pce01__RESP__rest1,,1
pce01__RESP__trials_concat,,1
pce02__ECG__rest1,,1
pce02__ECG__trials_concat,,0
pce02__EDA__rest1,,1
pce02__EDA__trials_concat,,0
pce02__RESP__rest1,,1
pce02__RESP__trials_concat,,0
pce03__ECG__rest1,,1
pce03__ECG__trials_concat,,2
pce03__EDA__rest1,,1
pce03__EDA__trials_concat,,0
pce03__RESP__rest1,,1
pce03__RESP__trials_concat,,1
pce04__ECG__rest1,,1
pce04__ECG__trials_concat,,0
pce04__EDA__rest1,,1
pce04__EDA__trials_concat,,0
pce04__RESP__rest1,,1
pce04__RESP__trials_concat,,1
pce05__ECG__rest1,,1
pce05__ECG__trials_concat,,2
pce05__EDA__rest1,,1
pce05__EDA__trials_concat,,0
pce05__RESP__rest1,,1
pce05__RESP__trials_concat,,1
pce06__ECG__rest1,,1
pce06__ECG__trials_concat,,0
pce06__EDA__rest1,,1
pce06__EDA__trials_concat,,0
pce06__RESP__rest1,,1
pce06__RESP__trials_concat,,1
pce07__ECG__rest1,,1
pce07__ECG__trials_concat,,0
pce07__EDA__rest1,,1
pce07__EDA__trials_concat,,0
pce07__RESP__rest1,,1
pce07__RESP__trials_concat,,1
pce08__ECG__rest1,,1
pce08__ECG__trials_concat,,0
pce08__EDA__rest1,,1
pce08__EDA__trials_concat,,0
pce08__RESP__rest1,,1
pce08__RESP__trials_concat,,1
pce09__ECG__rest1,,1
pce09__ECG__trials_concat,,0
pce09__EDA__rest1,,1
pce09__EDA__trials_concat,,0
pce09__RESP__rest1,,1
pce09__RESP__trials_concat,,1
pce10__ECG__rest1,,1
pce10__ECG__trials_concat,,0
pce10__EDA__rest1,,1
pce10__EDA__trials_concat,,0
pce10__RESP__rest1,,1
pce10__RESP__trials_concat,,1
pce11__ECG__rest1,,0
pce11__ECG__trials_concat,,0
pce11__EDA__rest1,,1
pce11__EDA__trials_concat,,0
pce11__RESP__rest1,,0
pce11__RESP__trials_concat,,0
pce12__ECG__rest1,,1
pce12__ECG__trials_concat,,0
pce12__EDA__rest1,,1
pce12__EDA__trials_concat,,0
pce12__RESP__rest1,,1
pce12__RESP__trials_concat,,1
pce13__ECG__rest1,,1
pce13__ECG__trials_concat,,0
pce13__EDA__rest1,,1
pce13__EDA__trials_concat,,0
pce13__RESP__rest1,,1
pce13__RESP__trials_concat,,0
pce14__ECG__rest1,,1
pce14__ECG__trials_concat,,0
pce14__EDA__rest1,,0
pce14__EDA__trials_concat,,0
pce14__RESP__rest1,,1
pce14__RESP__trials_concat,,1
pce15__ECG__rest1,,1
pce15__ECG__trials_concat,,0
pce15__EDA__rest1,,1
pce15__EDA__trials_concat,,0
pce15__RESP__rest1,,1
pce15__RESP__trials_concat,,0
pce16__ECG__rest1,,0
pce16__ECG__trials_concat,,0
pce16__EDA__rest1,,1
pce16__EDA__trials_concat,,0
pce16__RESP__rest1,,1
pce16__RESP__trials_concat,,0
pce17__ECG__rest1,,1
pce17__ECG__trials_concat,,0
pce17__EDA__rest1,,0
pce17__EDA__trials_concat,,0
pce17__RESP__rest1,,1
pce17__RESP__trials_concat,,1
pce18__ECG__rest1,,1
pce18__ECG__trials_concat,,0
pce18__EDA__rest1,,1
pce18__EDA__trials_concat,,0
pce18__RESP__rest1,,1
pce18__RESP__trials_concat,,1
pce19__ECG__rest1,,1
pce19__ECG__trials_concat,,0
pce19__EDA__rest1,,1
pce19__EDA__trials_concat,,0
pce19__RESP__rest1,,1
pce19__RESP__trials_concat,,0
pce20__ECG__rest1,,1
pce20__ECG__trials_concat,,0
pce20__EDA__rest1,,1
pce20__EDA__trials_concat,,0
pce20__RESP__rest1,,1
pce20__RESP__trials_concat,,1
pce21__ECG__rest1,,1
pce21__ECG__trials_concat,,0
pce21__EDA__rest1,,1
pce21__EDA__trials_concat,,0
pce21__RESP__rest1,,1
pce21__RESP__trials_concat,,1
pce22__ECG__rest1,,1
pce22__ECG__trials_concat,,0
pce22__EDA__rest1,,0
pce22__EDA__trials_concat,,0
pce22__RESP__rest1,,1
pce22__RESP__trials_concat,,1
pce23__ECG__rest1,,1
pce23__ECG__trials_concat,,0
pce23__EDA__rest1,,1
pce23__EDA__trials_concat,,0
pce23__RESP__rest1,,1
pce23__RESP__trials_concat,,0
pce24__EDA__rest1,,1
pce24__EDA__trials_concat,,0
pce24__RESP__rest1,,1
pce24__RESP__trials_concat,,1
pce25__ECG__rest1,,1
pce25__ECG__trials_concat,,0
pce25__EDA__rest1,,0
pce25__EDA__trials_concat,,0
pce25__RESP__rest1,,1
pce25__RESP__trials_concat,,1
pce26__EDA__rest1,,1
pce26__EDA__trials_concat,,0
pce26__RESP__rest1,,1
pce26__RESP__trials_concat,,1
pce27__ECG__rest1,,1
pce27__ECG__trials_concat,,0
pce27__EDA__rest1,,1
pce27__EDA__trials_concat,,0
pce27__RESP__rest1,,1
pce27__RESP__trials_concat,,1
pce28__ECG__rest1,,1
pce28__ECG__trials_concat,,0
pce28__EDA__rest1,,0
pce28__EDA__trials_concat,,0
pce28__RESP__rest1,,1
pce28__RESP__trials_concat,,1
pce29__ECG__rest1,,1
pce29__ECG__trials_concat,,0
pce29__EDA__rest1,,1
pce29__EDA__trials_concat,,0
pce29__RESP__rest1,,1
pce29__RESP__trials_concat,,1
pce30__ECG__rest1,,1
pce30__ECG__trials_concat,,1
pce30__EDA__rest1,,1
pce30__EDA__trials_concat,,1
pce30__RESP__rest1,,1
pce30__RESP__trials_concat,,1
pce32__EDA__rest1,,0
pce32__EDA__trials_concat,,0
pce32__RESP__rest1,,1
pce32__RESP__trials_concat,,0
