feature,shapley_marginal_auc,lofo_auc_drop,baseline
peak_amplitude,0.13823290546157735,0.017311478973808025,drop_mean_synchrony
onset_latency,0.07488519536681543,0.005757927041271094,drop_mean_synchrony
dwell_time,0.05928181941081458,0.02325886344672934,drop_mean_synchrony
switching_rate,0.051677300110865916,-0.004189990742528238,drop_mean_synchrony
recovery_time,0.04434331712348957,-0.002413637201372998,drop_mean_synchrony
bimodality_coefficient,0.035039991178623636,-0.0043539891335924175,drop_mean_synchrony
synchrony_entropy,0.031117036689153617,-0.006005051690640695,drop_mean_synchrony
rise_time,-0.020545524585161498,0.0022734660096401793,drop_mean_synchrony
peak_amplitude,0.11919476546700848,0.014590408507129338,keep_mean_synchrony
onset_latency,0.07967902620915795,0.014171720409521305,keep_mean_synchrony
switching_rate,0.04120402767218807,-0.0031933180436758413,keep_mean_synchrony
dwell_time,0.03808553444886398,0.026017009479110786,keep_mean_synchrony
recovery_time,0.02850259849204628,-0.0004987443097398403,keep_mean_synchrony
synchrony_entropy,0.027650949726645075,-0.0066323506669960786,keep_mean_synchrony
bimodality_coefficient,0.011185858071450948,-0.003908832438435761,keep_mean_synchrony
rise_time,-0.007584098469935323,0.003561875845545237,keep_mean_synchrony
