k,silhouette,subsample_ari,dataset
2,0.23744626511057543,0.46224067049358536,lerique
3,0.2510795510960413,0.9181531724421859,lerique
4,0.2542063823286492,0.8064789162247937,lerique
5,0.21956020825723532,0.6517221296825981,lerique
2,0.7927349216163824,0.48090228955325454,gordon
3,0.2593740711635489,0.7933713770820969,gordon
4,0.2270695660063304,0.6514078521162648,gordon
5,0.19423685921164635,0.5095923924637386,gordon
2,0.24772062739410758,0.8170982047926505,andersen
3,0.26157570713457357,0.7560154064269312,andersen
4,0.22214679007398122,0.6919465195967615,andersen
5,0.20217417032808357,0.5449044625644714,andersen
