,mean_synchrony,peak_amplitude,dwell_time,switching_rate,bimodality_coefficient,onset_latency,rise_time,recovery_time,synchrony_entropy
mean_synchrony,1.0,0.3682116467960755,0.8140436780750855,0.30296466570590097,0.7227911421238014,-0.10043175206143397,-0.09852859250613702,0.2725839053886975,-0.9312019022433583
peak_amplitude,0.3682116467960755,1.0,0.3728428771320964,0.0024771474426225942,0.35570884120934676,-0.18462890183595332,0.026014180822271204,0.2442324465575422,-0.3916785742063801
dwell_time,0.8140436780750855,0.3728428771320964,1.0,-0.20823854946284512,0.7368356490462725,-0.07559885007530526,-0.07837679491614444,0.3460486068498289,-0.8837029506909032
switching_rate,0.30296466570590097,0.0024771474426225942,-0.20823854946284512,1.0,0.14385988772370706,-0.0533066562753157,-0.0004836293358045207,-0.07582565559433832,-0.14618858854466715
bimodality_coefficient,0.7227911421238014,0.35570884120934676,0.7368356490462725,0.14385988772370706,1.0,-0.021539234747988717,-0.061897181612418646,0.256482763929946,-0.804512939032656
onset_latency,-0.10043175206143397,-0.18462890183595332,-0.07559885007530526,-0.0533066562753157,-0.021539234747988717,1.0,-0.013685559315501002,-0.0660383431536259,0.07743323221459271
rise_time,-0.09852859250613702,0.026014180822271204,-0.07837679491614444,-0.0004836293358045207,-0.061897181612418646,-0.013685559315501002,1.0,-0.027364452164691442,0.10272196918860033
recovery_time,0.2725839053886975,0.2442324465575422,0.3460486068498289,-0.07582565559433832,0.256482763929946,-0.0660383431536259,-0.027364452164691442,1.0,-0.31999311841988337
synchrony_entropy,-0.9312019022433583,-0.3916785742063801,-0.8837029506909032,-0.14618858854466715,-0.804512939032656,0.07743323221459271,0.10272196918860033,-0.31999311841988337,1.0
