dataset,feature,VIF,flag
lerique,mean_synchrony,2.6296495819507233,ok
lerique,peak_amplitude,2.6192131178786418,ok
lerique,dwell_time,3.055456143573299,ok
lerique,switching_rate,2.4757269008929637,ok
lerique,bimodality_coefficient,,ok
gordon,onset_latency,1.1021792507235635,ok
gordon,rise_time,1.1133349312979444,ok
gordon,peak_amplitude,3.9972868879768826,ok
gordon,recovery_time,1.0508535175796794,ok
gordon,mean_synchrony,4.251364040613872,ok
gordon,synchrony_entropy,1.3005221689628454,ok
andersen,mean_synchrony,35.26542050728305,severe
andersen,peak_amplitude,1.356957409837935,ok
andersen,dwell_time,50.88297546697728,severe
andersen,switching_rate,17.978608270770106,severe
andersen,bimodality_coefficient,4.773459384773155,ok
andersen,onset_latency,1.0404745958898718,ok
andersen,rise_time,1.06948889526494,ok
andersen,recovery_time,1.1493085781510808,ok
andersen,synchrony_entropy,4.881401207104908,ok
