feature,functional_tier,informational_class,computed,primary,in_FDR_family,fdr_family,math_tier,null_model,paradigm,interpretation
mean_synchrony,reference,intensity,yes,"Reference only (reported, NOT in FDR)",no,—,L0,"Signal-level IAAFT (shuffle raw signals, recompute WCC)","All paradigms; most robust, least specific",Average moment-to-moment coupling magnitude.
peak_amplitude,core,intensity,yes,PRIMARY (intensity),yes,L0,L0,"Signal-level IAAFT (shuffle raw signals, recompute WCC)",All paradigms; cross-paradigm robust,Strongest sustained coupling reached during interaction.
fraction_above_threshold,conditional,structure,yes,Exploratory-secondary (occupancy; NOT in FDR),no,—,L0,"Signal-level IAAFT (shuffle raw signals, recompute WCC)",All paradigms with threshold justification; report threshold metadata,Fraction of finite WCC samples above the synchrony threshold (coverage).
dwell_time,core,structure,yes,PRIMARY (structure),yes,L1,L1,WCC-level IAAFT (shuffle WCC; preserves L0 moments),Continuous & event paradigms; needs sufficient trace length,Mean duration of high-synchrony episodes (persistence).
switching_rate,core,structure,yes,PRIMARY (structure),yes,L1,L1,WCC-level IAAFT (shuffle WCC; preserves L0 moments),Continuous & event paradigms; sensitive to window size,How often synchrony crosses in/out of high-coupling state.
synchrony_entropy,conditional,structure,yes,Exploratory (distributional; NOT in FDR),no,—,L0,"Signal-level IAAFT (shuffle raw signals, recompute WCC)","All paradigms; distribution shape, not temporal order",Dispersion/unpredictability of the synchrony distribution.
bimodality_coefficient,conditional,structure,yes,Exploratory (distributional; not in the FDR family),no,—,L0,"Signal-level IAAFT (shuffle raw signals, recompute WCC)","All paradigms; distribution shape, not temporal order",Degree to which synchrony is bistable (high vs low) rather than graded.
onset_latency,conditional,temporal,yes,Exploratory — EVENT-LOCKED paradigms ONLY,no,—,L2,Exploratory in v1; validated timing/morphology existence null deferred to v2,Event/stimulus-locked ONLY; undefined (NaN) in free interaction,Time from event onset to first sustained high-synchrony crossing.
rise_time,conditional,temporal,yes,Exploratory — EVENT-LOCKED paradigms ONLY,no,—,L2,Exploratory in v1; validated timing/morphology existence null deferred to v2,Event/stimulus-locked ONLY; estimator-shape confound (see Limitations),Speed of synchrony build-up (WCC-derived; not a physiological waveform).
recovery_time,conditional,temporal,yes,Exploratory — EVENT-LOCKED paradigms ONLY,no,—,L2,Exploratory in v1; validated timing/morphology existence null deferred to v2,Event/stimulus-locked ONLY; estimator-shape confound (see Limitations),Time for synchrony to return toward baseline after a peak.
inter_peak_cv,conditional,temporal,yes,Exploratory-secondary (temporal regularity; NOT in FDR),no,—,L2,Exploratory in v1; validated timing/morphology existence null deferred to v2,"Long, oscillatory traces with >= 3 prominent peaks; report definedness rate",CV of inter-peak intervals (regular vs irregular synchrony events).
first_peak_time,conditional,temporal,yes,Exploratory-secondary (event timing; NOT in FDR),no,—,L2,Exploratory in v1; validated timing/morphology existence null deferred to v2,Any morphology with >= 1 prominent peak; report definedness rate,Time of the first prominent above-threshold synchrony peak.
